CountryName	HIV_Prev_W_15	UnmetNeedMM	HSV-2 prevalence 2012	HPV_Prev15
IRELAND	0.0013	0.161	0.098	0.122
ISRAEL	0.0011	0.266	0.098	0.017
ITALY	0.0005	0.282	0.098	0.134
JAMAICA	0.0103	0.139	0.184	0.354
JAPAN	0.0001	0.227	0.119	0.107
JORDAN	0.0008	0.315	0.126	0.017
KAZAKHSTAN	0.0012	0.194	0.098	0.094
KENYA	0.0658	0.297	0.38	0.393
KIRIBATI	0.0011	0.327	0.119	0.285
KUWAIT	0.0008	0.28	0.126	0.025
KYRGYZSTAN	0.0007	0.209	0.098	0.094
LAOS	0.0011	0.265	0.119	0.14
LATVIA	0.0015	0.203	0.098	0.1
LEBANON	0.0008	0.365	0.126	0.017
LESOTHO	0.2489	0.232	0.38	0.174
LIBERIA	0.0121	0.347	0.38	0.196
LIBYA	0.0008	0.417	0.126	0.092
LIECHTENSTEIN			0.098	0.09
LITHUANIA	0.0001	0.242	0.098	0.242
LUXEMBOURG	0.0021		0.098	0.09
MACEDONIA	0.0001	0.525	0.098	0.088
MADAGASCAR	0.0032	0.295	0.38	0.336
MALAWI	0.1173	0.281	0.38	0.336
MALAYSIA	0.0009	0.318	0.119	0.14
MALDIVES	0	0.341	0.085	0.071
MALI	0.01	0.298	0.38	0.196
MALTA	0.0006	0.263	0.098	0.088
MARSHALL ISLANDS	0.0011	0.202	0.119	0.285
MAURITANIA	0.0042	0.333	0.38	0.196
MAURITIUS	0.0048	0.314	0.38	0.336
MEXICO	0.0008	0.16	0.184	0.29
MOLDOVA	0.0026	0.306	0.098	0.214
MONACO			0.098	0.09
MONGOLIA	0.0001	0.207	0.119	0.294
MONTENEGRO	0.0002	0.442	0.098	0.088
MOROCCO	0.0009	0.204	0.126	0.363
MOZAMBIQUE	0.1145	0.288	0.38	0.361
NAMIBIA	0.1621	0.192	0.38	0.174
NEPAL	0.0008	0.312	0.085	0.071
NETHERLANDS	0.0006	0.128	0.098	0.046
NEW ZEALAND	0.0003	0.129	0.119	0.359
